"C","n1","c1","c2","c3","c4","y"
1350191599,250,0,1,1,1,20
341518045,30,1,1,1,1,60
2302716872,15,1,1,0,0,90
705981995,250,1,1,1,0,80
2016372762,250,0,1,1,1,0
2528308950,125,1,1,0,0,80
2641015529,62.5,1,0,1,1,0
2641015529,8,0,1,0,1,0
2641015529,15,0,1,1,0,0
2641015529,250,0,1,1,1,100
706926498,60,1,1,1,0,0
2032751678,60,0,1,1,1,60
1252582573,8,1,1,1,1,0
2087440548,60,1,1,0,0,80
1737600067,15,1,1,0,1,0
2528308950,1000,1,0,0,0,100
2093554638,60,0,1,1,0,10
2032751678,250,1,0,1,1,90
2641015529,250,1,1,1,1,80
2000068586,60,1,1,0,1,0
2641015529,8,1,1,0,1,60
2641015529,60,1,1,0,1,80
2641015529,250,1,1,1,0,80
2641015529,60,0,1,0,0,50
2094391522,60,1,1,0,0,90
2641015529,125,0,1,1,1,100
2622468661,250,1,0,0,0,30
2641015529,30,0,1,1,0,0
2118873661,15,1,1,0,1,50
2074733805,250,0,1,1,0,20
2641015529,8,1,1,1,1,0
2641015529,8,0,1,0,1,20
2641015529,250,0,1,0,1,100
585121068,250,1,0,0,0,0
1447102447,15,1,1,0,1,70
2066264128,250,1,1,0,0,100
2641015529,8,1,1,1,1,10
2016526756,125,0,1,0,0,0
2641015529,1000,1,0,1,1,80
2064423190,125,0,1,1,1,0
693184093,250,1,1,0,0,100
2641015529,60,1,1,0,1,90
985323858,2,1,1,1,1,0
2641015529,125,0,1,0,0,30
2641015529,125,1,1,0,0,90
2030848809,30,1,1,1,1,20
2133522090,62.5,0,0,0,0,30
2641015529,125,1,1,1,0,30
2641015529,30,0,1,1,0,0
2528308950,60,1,1,1,1,50
2641015529,250,1,1,1,1,70
2641015529,60,1,1,0,1,90
1530256782,15,0,1,0,0,50
2641015529,125,1,1,0,0,100
2467607666,60,1,1,1,1,0
215713613,250,1,0,0,0,0
2641015529,250,0,1,0,1,70
2641015529,125,0,1,0,0,100
409356343,250,1,1,1,1,80
2641015529,250,0,1,1,1,100
2641015529,30,1,1,1,1,90
2641015529,250,1,1,0,0,100
2641015529,125,1,1,0,1,80
2641015529,60,0,1,1,1,40
2641015529,125,0,1,0,1,50
2641015529,250,1,1,1,0,40
2641015529,8,0,1,1,0,0
2750880962,250,1,0,1,0,60
2766665932,60,1,1,1,0,0
1056951336,1000,0,0,0,1,100
2641015529,60,0,1,0,1,80
1566641222,60,1,1,1,0,20
2641015529,1000,0,0,0,0,100
2641015529,1000,0,0,0,1,100
1566641222,250,0,1,1,1,30
2820061880,250,1,0,1,0,20
1585621191,250,1,1,1,1,90
2145526726,30,1,1,1,1,0
2641015529,60,1,1,1,1,70
2048340843,62.5,1,0,1,1,0
2743794462,60,0,1,0,0,10
2641015529,60,0,1,1,0,0
2641015529,60,0,1,1,0,10
2641015529,15,0,1,1,0,0
2641015529,250,1,1,1,1,70
2641015529,60,0,1,0,0,100
2641015529,8,1,1,0,1,70
89976218,250,0,1,1,1,0
2641015529,125,1,1,1,0,60
2113057411,60,0,1,1,0,0
1994854567,62.5,0,0,1,1,0
2641015529,125,0,1,1,1,100
2641015529,30,0,1,1,1,0
2641015529,60,1,1,1,0,0
2014473829,30,1,1,0,0,90
2011750202,30,1,1,1,0,0
2641015529,250,0,1,0,1,90
819766967,125,0,1,1,1,0
2641015529,15,0,1,1,1,0
2641015529,125,0,1,0,1,80
81676411,30,1,1,0,0,60
2641015529,500,0,1,1,1,100
2641015529,30,1,1,0,0,80
1014905061,125,0,1,1,0,0
1350191599,60,0,1,1,1,20
594851779,125,0,1,0,1,50
2667373318,1000,1,0,1,0,90
2641015529,30,0,1,0,0,20
2641015529,15,1,1,1,1,50
2641015529,15,0,1,0,0,0
2641015529,8,0,1,0,1,70
2641015529,250,0,0,1,0,60
2145132968,15,1,1,1,1,20
2641015529,1000,1,0,1,1,90
2641015529,60,1,1,1,0,40
2641015529,125,0,1,0,0,100
2641015529,30,0,1,1,1,0
2528308950,1000,0,0,1,1,100
2641015529,15,0,1,0,0,0
2650752792,60,1,1,1,0,30
2641015529,62.5,0,0,1,1,90
2058278298,250,1,0,0,0,10
2641015529,125,0,1,0,1,80
2641015529,30,1,1,1,1,40
2706782816,250,1,1,1,0,10
2641015529,8,1,1,1,0,0
2641015529,30,1,1,0,0,90
2641015529,250,1,1,1,0,60
2641015529,60,0,1,0,1,60
